word,language,count,pos,tsne_x,tsne_y
spring,en,4,NOUN,13.149011,5.104741
opera,en,10,NOUN,33.57893,-8.555913
founder,en,1,NOUN,8.463946,-4.691901
husband,en,28,NOUN,18.786818,-7.6474814
importance,en,1,NOUN,20.103968,20.21426
boy,en,7,NOUN,21.652302,-2.9727142
nation,en,8,NOUN,0.026782429,-16.15618
faith,en,4,NOUN,19.33514,-21.216097
entertainment,en,6,NOUN,30.031206,3.1048334
creation,en,1,NOUN,9.227167,35.467075
tower,en,7,NOUN,37.176376,-27.818092
marriage,en,8,NOUN,21.438105,-6.3058114
peace,en,3,NOUN,-3.48174,20.91856
hour,en,23,NOUN,14.942241,9.347522
ability,en,1,NOUN,43.476837,20.054533
host,en,1,NOUN,13.13011,-27.499516
wall,en,14,NOUN,38.68458,-24.478193
troops,en,2,NOUN,3.844767,3.5461683
emperor,en,38,NOUN,11.590429,-18.117828
letter,en,63,NOUN,-9.354193,0.5275101
couple,en,3,NOUN,20.359259,-6.6612253
fellow,en,14,NOUN,13.852775,-5.9444275
duke,en,10,NOUN,13.425672,-19.371454
gallery,en,18,NOUN,34.741985,-16.667778
tree,en,26,NOUN,54.18756,-25.6664
protection,en,5,NOUN,11.156557,43.163174
count,en,16,NOUN,14.626333,-19.620796
situation,en,11,NOUN,22.633764,37.793694
lady,en,128,NOUN,21.868982,-9.507974
influence,en,2,NOUN,18.607216,30.112776
machine,en,10,NOUN,47.77374,-7.638143
ministry,en,1,NOUN,1.8022976,-6.845532
blood,en,3,NOUN,54.531483,17.01309
distance,en,8,NOUN,20.658695,9.72681
bottom,en,9,NOUN,18.465822,11.333263
dispute,en,5,NOUN,28.78043,38.578568
scene,en,16,NOUN,34.82512,-11.404888
method,en,2,NOUN,14.640446,29.86724
iron,en,1,NOUN,44.669163,-21.687971
ball,en,6,NOUN,51.800858,0.17844453
fish,en,3,NOUN,63.116756,-19.676765
gun,en,4,NOUN,48.360676,-7.78556
sign,en,7,NOUN,-4.0771565,24.697369
doctor,en,5,NOUN,19.586521,-15.164271
crime,en,1,NOUN,35.471817,41.70618
sex,en,6,NOUN,21.299177,-5.4639773
